url,section,template,templateName,disposition
"https://mykp.kp.org/en/hr/wellness/mental-health.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/wellness/physical-health.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/wellness/well-being-tips.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/compliance/condition-of-employment-training.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/compliance/employment-law-postings.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/compliance/hr-policies/policies.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/compliance/license-certifications-and-registrations.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/compliance/regulatory-file-compliance.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/culture-and-diversity/people-pulse.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/employment/employment-verification.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/employment/involuntary-termination.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/employment/voluntary-termination-resignation.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/employment/voluntary-termination-resignation/employee.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/employment/voluntary-termination-resignation/manager.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/flexible-and-remote-work.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
